type,value,notes
payment_status,Not paid yet,New inquiry with no confirmed payment
payment_status,Paid - awaiting confirmation,Customer says paid but not manually confirmed yet
payment_status,Paid - starter,Starter payment confirmed
payment_status,Paid - standard,Standard payment confirmed
payment_status,Refund requested,Customer asked for refund
payment_status,Refund completed,Refund already processed
lead_status,New lead,Fresh inquiry not yet reviewed
lead_status,Needs package confirmation,You need to recommend or confirm package
lead_status,Waiting for reply,You already replied and are waiting for customer
lead_status,Paid client,Confirmed paying customer
lead_status,In progress,Active service delivery
lead_status,Closed,No more action needed
follow_up_stage,Awaiting review,Initial review pending
follow_up_stage,Awaiting package recommendation,Need to recommend package
follow_up_stage,Awaiting payment confirmation,Waiting for payment match
follow_up_stage,Awaiting records,Waiting for medical files or reports
follow_up_stage,Awaiting appointment step,Waiting for scheduling or booking action
follow_up_stage,Awaiting travel planning,Waiting for pre-arrival planning
follow_up_stage,Completed,Case completed
priority_level,High,Urgent or paid case needing fast handling
priority_level,Medium,Normal working priority
priority_level,Low,No urgent action needed
package,Not sure yet - recommend a package,Default for undecided customers
package,Starter Guide ($30),Research-oriented package
package,Standard Package ($299),Standard coordination package
